question,answer
"what kind of sentence is this?
does regan prefer pizza or pasta?",interrogative
"would you find the word sung on a dictionary page with the following guide words?
shot - stork",no
"does this passage describe the weather or the climate?
the air in boulder, colorado, is often dry in the winter.",climate
"complete the statement. assume that the athlete's mass did not change.
the gravitational potential energy stored between the athlete and earth () as she sped up around the track.",stayed the same
"what do these two changes have in common?
a sidewalk heating up in the sun
a puddle freezing into ice on a cold night",Both are only physical changes.
how long is a caterpillar?,49 millimeters
"what do these two changes have in common?
a piece of avocado turning brown
a piece of pizza rotting in a trashcan",Both are chemical changes.
"what do these two changes have in common?
burning a candle
roasting a marshmallow over a campfire",Both are chemical changes.
"what do these two changes have in common?
breaking a piece of glass
butter melting on a hot day",Both are only physical changes.
what is the volume of a small measuring spoon?,5 milliliters
"the city of seaside has been one of the world's biggest makers of cough drops for many years. but last month, seaside's cough drop factories were destroyed by floods. what will probably happen to the overall supply of cough drops?",The supply will probably go down.
"complete the statement.
silver bromide is ().",a compound
"answer the riddle.
i am a toy.
i look like a person.
you can dress me up.
what am i?",a doll
"what do these two changes have in common?
an iceberg melting slowly
carving a piece of wood",Both are only physical changes.
"based on this information, what is vivian's phenotype for the marfan syndrome trait?",not having Marfan syndrome
"what does the verbal irony in this text suggest?
""sleeping through the rooster's crowing was no problem,"" raymond joked with a yawn.",Raymond slept poorly.
"is the following trait inherited or acquired?
liz plays basketball.",acquired
"what do these two changes have in common?
filtering air to remove dust and pollen
a crayon melting in the sun",Both are only physical changes.
what information supports the conclusion that alec acquired this trait?,"Alec learned biology by reading, observing, and experimenting."
"what do these two changes have in common?
sediment settling to the bottom of a muddy puddle
an iceberg melting slowly",Both are only physical changes.
"would you find the word smell on a dictionary page with the following guide words?
send - swung",yes
"what does the verbal irony in this text suggest?
""it was my good luck to have to study for a test while all my friends went to the water park,"" alec remarked.",Alec was upset about staying home.
"complete the statement. assume that the penny's mass did not change.
the gravitational potential energy stored between the penny and earth () as the penny fell toward the bottom of the well.",decreased
"would you find the word greet on a dictionary page with the following guide words?
gander - glider",no
"what does the personification in this text suggest?
stefan tried to ignore his unfinished essay, but it glared at him from across the room.",It bothered Stefan that the essay wasn't finished.
what information supports the conclusion that hector inherited this trait?,Hector's parents were born with straight hair. They passed down this trait to Hector.
"does this passage describe the weather or the climate?
jack noticed that fall usually has mild temperatures.",climate
is there a surplus or a shortage of tickets?,surplus
what information supports the conclusion that nolan acquired this trait?,Nolan's friend taught him how to fly a kite.
"is the following statement true or false?
plant cells do not have chloroplasts.",false
"what is the source of the allusion in the sentence below?
darnel spoke at the city council meeting, claiming the new recycling regulations were draconian.",Greek history
how long is a sofa?,6 feet
what is the volume of a bowl of soup?,10 fluid ounces
what information supports the conclusion that leslie acquired this trait?,Leslie learned to speak two languages in school.
"what is the temperature of the air on a cold, snowy day?",21°F
"what does the euphemism in this text suggest?
""thank you for your work over the years,"" mrs. becker said to her gardener. ""as of next week, however, your services will no longer be required.""",The gardener is being fired.
"would you find the word people on a dictionary page with the following guide words?
pattern - plot",yes
"complete the statement.
zirconium is ().",an elementary substance
"what does the verbal irony in this text suggest?
""sleeping through the rooster's crowing was no problem,"" dale joked with a yawn.",Dale slept poorly.
"what does the metaphor in this text suggest?
let us be grateful to people who make us happy; they are the charming gardeners who make our souls blossom.
—marcel proust",People nourish our souls when they make us happy.
when is thanksgiving celebrated in the united states?,on the fourth Thursday of November
"is this a run-on sentence?
right-handedness is controlled by genetics, interestingly enough, the same genes are also responsible for the brain becoming more specialized at certain tasks.",yes
"does the sentence use a simile or a metaphor?
the joking boys and girls are silly clowns.",metaphor
what is the mass of a small candy bar?,45 grams
"based on this information, what is chester's phenotype for the fur texture trait?",soft fur
how long is a soccer field?,370 feet
"complete the sentence.
in this chemical reaction, water is a ().",product
"what is the source of the allusion in the sentence below?
red velvet cupcakes were brooke's achilles's heel when she was trying to eat more healthily.",Greek mythology
how long is a long-distance running race?,33 kilometers
"complete the statement. assume that the water balloon's mass did not change.
the gravitational potential energy stored between the water balloon and earth () as the water balloon fell toward nate.",decreased
"based on this information, what is undyne's phenotype for the body color trait?",a golden body
how long does it take to do ten jumping jacks?,17 seconds
is grooming a dog a good or a service?,a service
the time period after the civil war is usually called reconstruction. what does it mean to reconstruct something?,to build something again
"what do these two changes have in common?
making jam
a slice of banana turning brown",Both are chemical changes.
"complete the statement.
cyclooctasulfur is ().",an elementary substance
"based on this information, what is this pea plant's genotype for the pea shape gene?",ee
"what does the verbal irony in this text suggest?
""this is the best day of my life,"" mr. duran mumbled after his car broke down on the way to an important job interview.",Mr. Duran was having a bad day.
"answer the riddle.
i am black.
i fly at night.
i sleep upside down.
what am i?",a bat
what is the mass of a fire truck?,19 tons
"does this passage describe the weather or the climate?
it has not rained in over a week at jaden's house.",weather
"what is the source of the allusion in the sentence below?
after my father spoke, my mother shrugged as if to say there was no sense in trying to change an archie bunker.",television
how long is a garden snail?,1 inch
"what does the idiom in this text suggest?
in such an unfamiliar environment, dwayne was a fish out of water.",Dwayne felt out of place.
"what does this works cited entry indicate about the cited work?
camus, albert. ""the guest."" trans. justin o'brien. the oxford book of french short stories. ed. elizabeth fallaize. oxford: oxford up, 2002. print.",It has been translated from another language.
"the city of georgetown has been one of the world's biggest makers of cough drops for many years. but last month, georgetown's cough drop factories were destroyed by floods. what will probably happen to the overall supply of cough drops?",The supply will probably go down.
"what do these two changes have in common?
cutting a piece of rope
water evaporating from a puddle",Both are only physical changes.
what information supports the conclusion that zack acquired this trait?,Zack's sister taught him how to do tricks with a jump rope.
"is there a sentence fragment?
in 2004, a team of archaeologists discovered a three-foot-tall skeleton, dubbed the ""hobbit,"" in indonesia. even after ten years, experts still debate whether the skeleton belonged to a modern human.",no
what is the mass of an apple?,120 grams
"is the following trait inherited or acquired?
kenji has five fingers on each hand.",inherited
"what does the euphemism in this text suggest?
these five-inch heels make the perfect accessory for vertically challenged fashionistas.",The heels are recommended for short people.
"what do these two changes have in common?
a puddle freezing into ice on a cold night
mixing sand and water",Both are only physical changes.
"complete the sentence.
bleaching clothes is a ().",chemical change
what is the mass of an eraser?,40 grams
what is the temperature of a cup of hot coffee?,155°F
"complete the sentence.
blending a smoothie is a ().",physical change
"based on this information, what is boba's phenotype for the fur length trait?",short fur
"what is the source of the allusion in the sentence below?
ethan spoke at the city council meeting, claiming the new recycling regulations were draconian.",Greek history
"is this a sentence fragment?
in the fifth and sixth centuries, more than fifty thousand buddhist statues carved into the rock of the yungang grottoes of china.",yes
how long is a sunflower seed?,16 millimeters
"complete the sentence.
ice melting in a cup is a ().",physical change
"what kind of sentence is this?
how many articles did dave write before his publisher offered him a book contract?",interrogative
"what does the verbal irony in this text suggest?
""this salsa could use a little more spice,"" tristan said as he gulped down water and wiped tears from his eyes.",The salsa was too spicy.
"what does the idiom in this text suggest?
""speak of the devil!"" rachel declared when felix strolled into the room.",Rachel had just been speaking about Felix.
how long is a garden snail?,2 inches
"what do these two changes have in common?
rust forming on a metal gate
burning a candle",Both are chemical changes.
"is the following statement true or false?
a plant cell has a cell membrane.",true
what is the volume of a paper drinking cup?,110 milliliters
"complete the statement.
hydrogen fluoride is ().",a compound
how long is a sofa?,8 feet
"based on this information, what is kitty's genotype for the body hair gene?",bb
what information supports the conclusion that ann acquired this trait?,"Ann learned biology by reading, observing, and experimenting."
"complete the statement.
bromomethane is ().",a compound
"complete the statement.
potassium hydroxide is ().",a compound
"based on this information, what is this scarlet rosemallow plant's genotype for the flower color gene?",ff
"what does the allusion in this text suggest?
bobby seems to have the midas touch. without any special experience or training, he launched a thriving business and then established a well-respected charity.",Bobby is successful at all that he does.
"is this a run-on sentence?
located just south of dover, tristan's restaurant offers an eclectic menu in a scenic country setting.",no
what information supports the conclusion that ben acquired this trait?,Ben learned to speak two languages in school.
what is the temperature of a cold glass of water?,4°C
what is the mass of a vacuum cleaner?,19 pounds
"adapted from richard aldington, ""childhood"" and adapted from jane taylor, ""the violet""","Within a green and shady bed
A modest violet grew;
Its stalk was bent, it hung its head,
As if to hide from view."
"according to newton's third law, what other force must be happening?",The wheelchair is pushing on Quincy.
"is the following trait inherited or acquired?
shelby is good at knitting scarves.",acquired
how long is a raisin?,11 millimeters
"what do these two changes have in common?
water freezing into ice
a rock heating up in a campfire",Both are only physical changes.
"based on this information, what is undyne's phenotype for the tail spots trait?",a spotted tail
"based on this information, what is moxie's phenotype for the coat color trait?",a black coat
"last year, there were seven men's clothing stores on main street in westminster. this year, there are only three. what probably happened to the overall supply of men's shirts in westminster?",The supply probably went down.
"would you find the word muzzle on a dictionary page with the following guide words?
mar - moon",no
what is the mass of a dinner fork?,3 ounces
what information supports the conclusion that abdul inherited this trait?,Abdul's biological mother often wears her naturally brown hair in a bun.
what information supports the conclusion that harper acquired this trait?,Harper's scar was caused by an accident. She cut her leg when she was climbing a tree.
"complete the sentence.
compost rotting is a ().",chemical change
"what do these two changes have in common?
a crayon melting in the sun
mixing sand and water",Both are only physical changes.
what information supports the conclusion that vivian acquired this trait?,Vivian learned how to play the cello in music class.
"is this a run-on sentence?
my favorite furniture company offers more than one hundred different fabrics to choose from you can order free fabric swatches to see what looks best with your decor.",yes
"what do these two changes have in common?
stapling an envelope shut
erosion caused by wind",Both are only physical changes.
how long is a tennis court?,75 feet
"what does the idiom in this text suggest?
mr. and mrs. gregory usually see eye to eye, but not when it comes to the controversial mayoral race.",Mr. and Mrs. Gregory usually agree.
how long is a soccer field?,375 feet
what information supports the conclusion that shivani acquired this trait?,Shivani learned history by reading.
how long is a hammer?,9 inches
what information supports the conclusion that emma acquired this trait?,Emma's scar was caused by an accident. She cut her leg when she was climbing a tree.
how long is a tennis racket?,27 inches
"based on this information, what is juniper's phenotype for the horns trait?",not having horns
what is the mass of a fire truck?,17 tons
what information supports the conclusion that julian acquired this trait?,Julian's friend taught him how to fly a kite.
what information supports the conclusion that mackenzie acquired this trait?,Mackenzie learned how to make chili from a recipe book.
"what do these two changes have in common?
mixing sand and water
carving a piece of wood",Both are only physical changes.
"complete the sentence.
baking an apple pie is a ().",chemical change
"based on this information, what is peaches's phenotype for the leg color trait?",yellow legs
what is the mass of an apple?,80 grams
what is the mass of a full bag of groceries?,6 pounds
what does día de los muertos mean?,Day of the Dead
"complete the statement.
hydrogen is ().",an elementary substance
what is the volume of armos?,7 cups
what is the volume of a ketchup packet?,5 milliliters
what information supports the conclusion that tammy acquired this trait?,Tammy learned to speak two languages in school.
"what does the idiom in this text suggest?
in such an unfamiliar environment, emmett was a fish out of water.",Emmett felt out of place.
"what does the personification in this text suggest?
there was never a sound beside the wood but one,
and that was my long scythe whispering to the ground.
—robert frost, ""mowing""",The scythe made a soft swishing sound.
"complete the statement.
during this chemical reaction, the solution becomes ().",warmer
"look at the word. does it have a closed syllable or an open syllable?
frost",closed
how long is a limousine?,9 yards
what information supports the conclusion that gabrielle inherited this trait?,Gabrielle's parents have dark skin. They passed down this trait to Gabrielle.
"based on this information, what is phoenix's phenotype for the cheek color trait?",bright orange cheeks
"the city of dover has been one of the world's biggest makers of cough drops for many years. but last month, dover's cough drop factories were destroyed by floods. what will probably happen to the overall supply of cough drops?",The supply will probably go down.
"complete the sentence so that it uses personification.
the frozen waffles, now deliciously warm and brown, () from the toaster.",leaped
"based on this information, what is precious's genotype for the fur type gene?",FF
"what do these two changes have in common?
silver jewelry tarnishing
boiling sugar to make caramel",Both are chemical changes.
"what kind of sentence is this?
scarlett felt intimidated by the steep cliff that she faced on her first rock-climbing adventure.",declarative
"complete the statement. assume that the motorcycle's mass did not change.
the gravitational potential energy stored between the motorcycle and earth () as stefan rode up the hill.",increased
"based on this information, what is millie's phenotype for the body hair trait?",a hairless body
"complete the statement.
tin is ().",an elementary substance
is a shirt a good or a service?,a good
"is this a sentence fragment?
the zion narrows, a canyon in utah's zion national park, stretching for sixteen miles and, in some areas, narrowing to just twenty feet.",yes
"what is the source of the allusion in the sentence below?
when the vase broke, my notoriously clumsy younger brother served as the scapegoat.",the Bible
what is the volume of a bathtub?,230 liters
"what does the allusion in this text suggest?
with the gutters clogged and water rising in the streets, pam, who was watching the storm from her window, commented, ""we're going to need an ark to get out of here.""",Pam thinks the storm will cause major flooding.
what is the volume of a kiddie pool?,290 gallons
what is the temperature of the air inside of a freezer?,18°F
"what does the hyperbole in this text suggest?
our supervisor is very stressed right now; she has a mountain of paperwork on her desk that she needs to finish by tomorrow.",The supervisor has a lot of paperwork to do.
"does this passage describe the weather or the climate?
the sky is clear right now, so it should be easy to see the stars tonight.",weather
how long does it take to drink a small glass of water?,30 seconds
what information supports the conclusion that mandy inherited this trait?,Mandy's parents have red hair. They passed down this trait to Mandy.
"is the following trait inherited or acquired?
vince has naturally pale skin.",inherited
"what kind of sentence is this?
what made maggie so upset?",interrogative
"is the following trait inherited or acquired?
andy can ride a motorcycle.",acquired
"is the following trait inherited or acquired?
devon is good at knitting hats.",acquired
"is this a run-on sentence?
after playing an hour-long set for nearly one hundred cheering fans, hunter's band returned to the stage and delivered a stellar encore performance.",no
"what do these two changes have in common?
baking a loaf of bread
burning a candle",Both are caused by heating.
what information supports the conclusion that edward inherited this trait?,Edward's parents have blond hair. They passed down this trait to Edward.
"is the following trait inherited or acquired?
wesley has naturally curly hair.",inherited
how long is a paper clip?,26 millimeters
"what do these two changes have in common?
knitting yarn into a scarf
using a large magnet to remove pieces of iron from a junkyard",Both are only physical changes.
"based on this information, what is this scarlet rosemallow plant's genotype for the flower color gene?",FF
"what is the source of the allusion in the sentence below?
from the look on her face, lucia is carrying an albatross around her neck.",a poem
"would you find the word gym on a dictionary page with the following guide words?
game - gnaw",no
"is the following trait inherited or acquired?
russell has a scar on his right hand.",acquired
"what do these two changes have in common?
butter melting on a hot day
peeling a banana",Both are only physical changes.
"based on this information, what is apollo's genotype for the coat pattern gene?",Aa
"based on this information, what is sammy's phenotype for the fur length trait?",short fur
what information supports the conclusion that jerry acquired this trait?,Jerry was not born knowing how to identify different fish. He had to learn this skill.
what information supports the conclusion that victor inherited this trait?,Victor's biological father wears contacts in his hazel eyes.
"complete the statement.
bromine is ().",an elementary substance
what is the mass of a goat?,33 kilograms
"what do these two changes have in common?
water evaporating from a lake
building a tower out of magnetic blocks",Both are only physical changes.
"complete the statement. assume that the whale's mass did not change.
the gravitational potential energy stored between the whale and earth () as the whale swam toward the surface.",increased
what information supports the conclusion that ian acquired this trait?,Ian learned history by reading.
how long does it take to do ten jumping jacks?,26 seconds
"what do these two changes have in common?
butter melting on a hot day
water vapor condensing on a bathroom mirror",Both are only physical changes.
what information supports the conclusion that ernest inherited this trait?,Ernest's biological parents have freckles on their noses just as Ernest does.
"what do these two changes have in common?
baking an apple pie
cooking an egg",Both are caused by heating.
"according to newton's third law, what other force must be happening?",The suitcase is pulling on Zachary.
"does this passage describe the weather or the climate?
lee lives in a town with hot summers and freezing cold winters.",climate
what information supports the conclusion that polly acquired this trait?,Polly learned to speak two languages in school.
how long is the nile river?,"4,250 miles"
"what does the verbal irony in this text suggest?
""this is the best day of my life,"" mr. garrison mumbled after his car broke down on the way to an important job interview.",Mr. Garrison was having a bad day.
"would you find the word ghost on a dictionary page with the following guide words?
gallop - glad",yes
what information supports the conclusion that jeffrey inherited this trait?,Jeffrey's parents have pale skin. They passed down this trait to Jeffrey.
"what is the source of the allusion in the sentence below?
""bryan's personality is very jekyll and hyde,"" marie told her brother.",literature
"what do these two changes have in common?
baking a loaf of bread
cells using oxygen to break down sugar",Both are chemical changes.
"does the sentence use a simile or a metaphor?
the tired woman fell into bed like a sack of potatoes.",simile
how long is a paintbrush?,26 centimeters
"would you find the word border on a dictionary page with the following guide words?
bandage - breeze",yes
"what do these two changes have in common?
rust forming on a bicycle frame
newly poured concrete becoming hard",Both are chemical changes.
what information supports the conclusion that janelle inherited this trait?,Janelle's biological mother often wears her straight hair in a ponytail.
"look at the word. does it have a closed syllable or an open syllable?
she",open
"what does this works cited entry indicate about the cited work?
""sid fernandez calls it quits after 14 years."" the seattle times 2 aug. 1997: n. pag. web. 10 july 2000.",The Seattle Times is the newspaper.
"what do these two changes have in common?
cutting your fingernails
stretching a rubber band",Both are only physical changes.
"based on this information, what is algernon's genotype for the body size gene?",bb
"what do these two changes have in common?
burning food on a stove
an iceberg melting slowly",Both are caused by heating.
"what kind of sentence is this?
roald dahl had a great imagination.",declarative
"complete the sentences.
according to the tenth amendment, the constitution lists all of the powers given to the united states government. any power not listed in the constitution belongs to either the state governments or ().",the American people
"complete the sentence.
molding clay into the shape of a pot is a ().",physical change
how long is a hammer?,7 inches
"complete the sentence.
mixing copper and tin to make bronze is a ().",physical change
"answer the riddle.
i am food.
i am sweet.
you may eat me on your birthday.
what am i?",a cake
how long is a sunflower seed?,12 millimeters
"would you find the word sang on a dictionary page with the following guide words?
sincere - sniff",no
"what is the temperature of the air on a warm, sunny day?",27°C
what is the temperature of a hot cup of tea?,60°C
"what do these two changes have in common?
chemicals in a battery reacting to power a flashlight
compost rotting",Both are chemical changes.
how long is a human front tooth?,10 millimeters
"last year, there were seven men's clothing stores on main street in bluepoint. this year, there are only three. what probably happened to the overall supply of men's shirts in bluepoint?",The supply probably went down.
"what is the source of the allusion in the sentence below?
leo picked up his pace on the trail as his spidey sense began to tingle.",a comic book
what information supports the conclusion that laura acquired this trait?,Laura learned how to knit in an after school program.
"what is the source of the allusion in the sentence below?
maria told her friends that antonio was a typical peter pan type.",literature
"is the following trait inherited or acquired?
pamela knows how to type.",acquired
what information supports the conclusion that isabella inherited this trait?,Isabella's parents were born with wavy hair. They passed down this trait to Isabella.
"what kind of sentence is this?
do you know if it's possible to make seawater safe for drinking?",interrogative
what is the volume of a watering can?,7 liters
how long is a caterpillar?,21 millimeters
"what do these two changes have in common?
baking a loaf of bread
melting glass",Both are caused by heating.
is a phone a good or a service?,a good
what information supports the conclusion that terrell acquired this trait?,Terrell learned how to build a fire at summer camp.
"what is the source of the allusion in the sentence below?
ivan's falstaffian nature makes him stand out at a party.",Shakespeare
"what does the verbal irony in this text suggest?
""that fits you well,"" percy remarked after jill's cap fell over her eyes for the tenth time.",The cap was too big.
what is the mass of a bicycle?,10 kilograms
"based on this information, what is ace's phenotype for the horns trait?",having horns
"is this a sentence fragment?
with more than sixty percent of the popular vote, incumbent lyndon baines johnson defeating republican barry goldwater, sr., in the 1964 presidential election.",yes
how long is a sofa?,9 feet
how long is an eyelash?,8 millimeters
"what is the source of the allusion in the sentence below?
juan's remark about your new car is clearly a case of sour grapes.",a fable
what is the volume of a teakettle?,10 cups
what is the volume of a bowl of soup?,265 milliliters
"would you find the word stork on a dictionary page with the following guide words?
shy - single",no
is babysitting a good or a service?,a service
"what is the source of the allusion in the sentence below?
mrs. crosby decided not to argue with the name her daughter had chosen for their new kitten, figuring it was a matter of a rose by any other name.",Shakespeare
what information supports the conclusion that desmond inherited this trait?,Desmond's parents have blond hair. They passed down this trait to Desmond.
"complete the statement. assume that the sled's mass did not change.
the gravitational potential energy stored between the sled and earth () as rosa rode down the hill.",decreased
how long is a bike path?,4 kilometers
how long is a leather belt?,34 inches
"read the following text from a student essay. how can the writer best improve his or her word choice?
i saw a movie called blob invasion. it was really good. it was about a weird guy who was into science. he worked on bugs and small animals. he made a machine that did things to the bugs and the animals. they became big weird things. one day he transformed himself by accident. he became a big blob! he went around doing bad things to the city. in the end, a boy figured out how to change the blob back into a man. i would recommend this movie to everyone who likes fun science movies.",by using more specific language
"what do these two changes have in common?
water boiling on a stove
tearing a piece of paper",Both are only physical changes.
"complete the sentence.
mixing copper and zinc to make brass is a ().",physical change
what information supports the conclusion that lila acquired this trait?,Lila's scar was caused by an accident. She cut her leg when she was climbing a tree.
"based on this information, what is fishie's phenotype for the body color trait?",a gray body
"what do these two changes have in common?
crushing a mineral into powder
beating an egg",Both are only physical changes.
"based on this information, what is sterling's genotype for the coat color gene?",LL
how long does it take to drink a small glass of water?,40 seconds
"does this passage describe the weather or the climate?
kevin lives in a city that is often covered by thick stratus clouds.",climate
"is the following trait inherited or acquired?
mabel plays tennis.",acquired
"what does this works cited entry indicate about the cited work?
2015 scholarship handbook. new york: the college board, 2014. print.",The College Board is the publisher.
what information supports the conclusion that gabby acquired this trait?,Gabby was not born knowing how to identify different bird calls. She had to learn this skill.
"would you find the word pour on a dictionary page with the following guide words?
patience - pulley",yes
"does this passage describe the weather or the climate?
where mark lives, winter is the rainiest season of the year.",climate
what information supports the conclusion that marco acquired this trait?,Marco learned biology by doing experiments.
what is the volume of a test tube?,11 milliliters
"would you find the word rhythm on a dictionary page with the following guide words?
rent - rotten",yes
"complete the sentence.
acid rain weathering a marble statue is a ().",chemical change
"based on this information, what is mei's genotype for the whisker type gene?",hh
"what is the source of the allusion in the sentence below?
when i learned the details of ariel's faustian bargain, i was in disbelief.",literature
"what do these two changes have in common?
milk going sour
deep-frying chicken",Both are chemical changes.
"last year, there were seven men's clothing stores on main street in lakeside. this year, there are only three. what probably happened to the overall supply of men's shirts in lakeside?",The supply probably went down.
how long is a hammer?,6 inches
how long is a human front tooth?,11 millimeters
what information supports the conclusion that brittany acquired this trait?,Brittany's scar was caused by an accident. She cut her leg when she was climbing a tree.
what information supports the conclusion that zachary inherited this trait?,Zachary's mother has blue eyes. She passed this trait down to Zachary.
"does this passage describe the weather or the climate?
amy noticed that the sky was filled with cumulus clouds every day last week.",weather
is carrying groceries a good or a service?,a service
"is the following trait inherited or acquired?
darnel has naturally black hair.",inherited
is a clock a good or a service?,a good
what information supports the conclusion that ian acquired this trait?,Ian learned how to build a fire at summer camp.
"based on this information, what is clue's phenotype for the fur texture trait?",rough fur
"is the following trait inherited or acquired?
jada has naturally curly hair.",inherited
"look at the word. does it have a closed syllable or an open syllable?
west",closed
"what kind of sentence is this?
give hakim a tour of the building and then take him to mr. coleman's office.",imperative
"what do these two changes have in common?
snails growing shells
photosynthesis",Both are chemical changes.
is there a surplus or a shortage of hammers?,shortage
"what does the metaphor in this text suggest?
when noah lost his job, he was devastated. the only light in the sea of darkness was the prospect of pursuing a new career.",There was a benefit to Noah's job loss.
"based on this information, what is winnee's phenotype for the coat pattern trait?",white spots
"based on this information, what is this plant's phenotype for the seed color trait?",light brown seeds
"a year ago, there were 12 companies that made motorized scooters. but over the past month, 5 of those companies went out of business. what probably happened to the overall supply of motorized scooters?",The supply probably went down.
"complete the sentence.
amelia earhart was a famous ().",pilot
is a newspaper a good or a service?,a good
"the city of dayton has been one of the world's biggest makers of cough drops for many years. but last month, dayton's cough drop factories were destroyed by floods. what will probably happen to the overall supply of cough drops?",The supply will probably go down.
"what do these two changes have in common?
mixing sand and gravel
tearing a piece of paper",Both are only physical changes.
"what is the source of the allusion in the sentence below?
caleb described the situation he was facing with his boss as a catch-22.",literature
"is the following trait inherited or acquired?
fred plays baseball.",acquired
"complete the statement.
diamond is ().",an elementary substance
"complete the sentence so that it uses personification.
against all odds, the () train eventually reached the crest of the hill.",wheezing
"is this a run-on sentence?
in 1960, american pilot francis gary powers was shot down and captured by the soviets as he flew over the ural mountains on an intelligence mission for the cia, nearly two years later, powers was released in exchange for rudolf abel, a kgb spy who had been caught in the united states.",yes
"complete the sentence.
using polish to remove tarnish from a silver spoon is a ().",chemical change
"based on this information, what is butch's genotype for the coat color gene?",LL
how long is a garden snail?,37 millimeters
"what kind of sentence is this?
oscar usually eats oatmeal for breakfast.",declarative
"complete the sentence.
a puddle freezing into ice on a cold night is a ().",physical change
"is the following trait inherited or acquired?
polly plays hockey.",acquired
how long is the grand canyon?,275 miles
what information supports the conclusion that helen inherited this trait?,Helen's biological mother often wears her straight hair in a ponytail.
"based on this information, what is winnee's genotype for the horns gene?",Hh
what is the volume of a can of soda pop?,12 fluid ounces
"based on this information, what is kimba's phenotype for the coat pattern trait?",a spotted coat
"what do these two changes have in common?
a log decomposing in the woods
using polish to remove tarnish from a silver spoon",Both are chemical changes.
"what do these two changes have in common?
mixing sand and gravel
crushing a mineral into powder",Both are only physical changes.
what information supports the conclusion that clare inherited this trait?,Clare's parents have dark skin. They passed down this trait to Clare.
"what do these two changes have in common?
a sidewalk heating up in the sun
carving a piece of wood",Both are only physical changes.
what is the mass of a small candy bar?,50 grams
"what is the source of the allusion in the sentence below?
by the time ruth had finished explaining to mr. dickerson what had happened, her friends were laughingly referring to her as scheherazade.",ancient legend
how long does it take to paint the walls in a bedroom?,5 hours
"what does the allusion in this text suggest?
with the gutters clogged and water rising in the streets, lola, who was watching the storm from her window, commented, ""we're going to need an ark to get out of here.""",Lola thinks the storm will cause major flooding.
how long is a spider's leg?,18 millimeters
what is the volume of a kitchen sink?,11 gallons
"what do these two changes have in common?
crushing a mineral into powder
breaking a ceramic plate",Both are only physical changes.
what is the mass of a small candy bar?,40 grams
"based on this information, what is briar's genotype for the fur color gene?",ff
"what is the temperature of the air on a warm, sunny day?",25°C
"would you find the word nation on a dictionary page with the following guide words?
near - notify",no
"what does the verbal irony in this text suggest?
""this is the best day of my life,"" mr. lopez mumbled after his car broke down on the way to an important job interview.",Mr. Lopez was having a bad day.
"what is the source of the allusion in the sentence below?
mrs. mckenzie decided not to argue with the name her daughter had chosen for their new kitten, figuring it was a matter of a rose by any other name.",Shakespeare
"what does the verbal irony in this text suggest?
according to mr. hancock's kids, his snoring is as quiet as a jackhammer.",The snoring is loud.
"complete the sentence.
a conifer's () make seeds.",cones
what is the temperature of the water in a hot bath?,40°C
"what does the hyperbole in this text suggest?
after he finished the marathon, dean collapsed into a chair and declared that he could no longer move a single muscle.",Dean was very tired and sore.
"based on this information, what is precious's phenotype for the fur type trait?",straight fur
"complete the sentence.
the eighth amendment prevents the government from using any ""cruel and unusual ()"".",punishments
"based on this information, what is this ornamental gourd plant's phenotype for the fruit color trait?",green fruit
what is the text's most likely purpose?,to persuade
"what is the source of the allusion in the sentence below?
mrs. lowery decided not to argue with the name her daughter had chosen for their new kitten, figuring it was a matter of a rose by any other name.",Shakespeare
"is this a run-on sentence?
because penguins are frightened by humans and difficult to approach, researchers from the university of strasbourg used remote-controlled rovers outfitted as baby penguins to study their subjects.",no
how long does it take to tie your shoes?,25 seconds
"based on this information, what is zuri's phenotype for the coat pattern trait?",a black coat
"is this a sentence fragment?
a new detective series by j. k. rowling published under the pseudonym of robert galbraith after she completed her seven-volume harry potter series.",yes
what is the mass of an adult hippopotamus?,2 tons
"what do these two changes have in common?
a puddle freezing into ice on a cold night
beating an egg",Both are only physical changes.
"what does this works cited entry indicate about the cited work?
encyclopedia of indiana. new york: somerset publishers, 1993. print.",It has no author.
"complete the sentence.
mud drying out in the sun is a ().",physical change
"what kind of sentence is this?
how well does roger play the guitar?",interrogative
what is the mass of a piece of candy corn?,2 grams
what is the volume of a large soup pot?,11 liters
"what is the source of the allusion in the sentence below?
valeria was known among her coworkers for her spartan ways.",Greek history
what information supports the conclusion that elijah acquired this trait?,Elijah learned to speak two languages in school.
"based on this information, what is oliver's phenotype for the body hair trait?",a hairless body
"is the following trait inherited or acquired?
dave can fly an airplane.",acquired
what is the volume of a coffee pot?,12 cups
"does the sentence use a simile or a metaphor?
jayla went down the slide face-first, like a penguin.",simile
"what do these two changes have in common?
bending a paper clip
breaking a rock in half",Both are only physical changes.
what is the volume of a bathtub?,65 gallons
"what is the source of the allusion in the sentence below?
alana thinks mr. cline is a luddite because he doesn't own a cell phone.",British history
"what does the personification in this text suggest?
ten thousand daffodils saw i at a glance,
tossing their heads in sprightly dance.
—william wordsworth, ""i wandered lonely as a cloud""",The daffodils were moving in the wind.
"complete the statement.
carbon monoxide is ().",a compound
"does this passage describe the weather or the climate?
it was windy today where jenny lives.",weather
"what kind of sentence is this?
amelia considers paris the most romantic city in the world.",declarative
how long is a ladybug?,9 millimeters
"would you find the word tablet on a dictionary page with the following guide words?
then - tin",no
